"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Checkout Process","1","0","User selects Samsung Galaxy S6 and completes checkout","0"
"0","","0","Login","1","0","Login with invalid username and password","0"
"0","Get Test","0","","1","0","Get All User Data","0"
"0","Put Test","0","","1","0","Update Specific User Data","0"
"0","Post Test","1","","0","0","Create New User Data","0"
"0","Verification Delete Test","0","","1","0","Verification After Delete Specific User Data","0"
"0","","0","Sign Up","1","0","New User Sign Up","0"
"0","Delete Test","1","","0","0","Delete Specific User Data","0"
"0","","0","Login","1","0","Login with valid username and password","0"
"0","Get Test","0","","1","0","Get Specific User Data","0"
