"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a user
  I want to select a specific product and complete the checkout process
  So that I can purchase the product","7553","User selects Samsung Galaxy S6 and completes checkout","","2026-03-15","passed","2026-03-15","","Checkout Process","User selects Samsung Galaxy S6 and completes checkout",""
"","3206","Login with invalid username and password","","2026-03-15","passed","2026-03-15","","Login","Login with invalid username and password",""
"This is test for get all user data","460","getUserTest","Test Automation Suite","2026-03-15","passed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","getUserTest"
"This is test for update specific user data by ID","406","updateUserDataTest","Test Automation Suite","2026-03-15","passed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","updateUserDataTest"
"This is test for create new user data","3383","createUserTest","Test Automation Suite","2026-03-15","failed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","createUserTest"
"This is verification test for delete specific user data by ID","109","verificationDelete","Test Automation Suite","2026-03-15","passed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","verificationDelete"
"","5632","New User Sign Up","","2026-03-15","passed","2026-03-15","","Sign Up","New User Sign Up",""
"This is test for delete specific user data by ID","597","deleteUserDataTest","Test Automation Suite","2026-03-15","failed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","deleteUserDataTest"
"","33389","Login with valid username and password","","2026-03-15","passed","2026-03-15","","Login","Login with valid username and password",""
"This is test for get specific user data by user ID","759","getSpecificUserTest","Test Automation Suite","2026-03-15","passed","2026-03-15","com.febrio.APITest","API Tests","com.febrio.APITest","getSpecificUserTest"
